Ticker,Name,Category

^GSPC,S&P 500,US Equities
^DJI,Dow Jones,US Equities
^IXIC,Nasdaq Composite,US Equities
^RUT,Russell 2000,US Equities
^VIX,CBOE Volatility Index,US Equities

XLB,Materials,US Cyclic Sectors 
XLI,Industrial,US Cyclic Sectors 
XLK,Technology,US Cyclic Sectors 
XLY,Cons. Disc.,US Cyclic Sectors 
XLF,Financial,US Cyclic Sectors 
XLC,Comm. Services,US Cyclic Sectors 

XLRE,Real Estate,US Defensive Sectors
XLP,Consumer Staples,US Defensive Sectors
XLE,Energy,US Defensive Sectors
XLV,Health Care,US Defensive Sectors
XLU,Utilities,US Defensive Sectors

^IRX,US - 3 Month Rate,US Rates
^FVX,US - 5 Year Rate,US Rates
^TNX,US - 10 Year Rate,US Rates
^TYX,US - 30 Year Rate,US Rates

^FTSE,UK - FTSE 100,Europe Equities
^FCHI,France - CAC 40,Europe Equities
^GDAXI,Germany - DAX,Europe Equities

000001.SS,China - Shanghai Composite,Asia Equities
^N225,Japan - Nikkei 225,Asia Equities
^HSI,Hong Kong - Hang Seng,Asia Equities
^KS11,South Korea - KOSPI Composite,Asia Equities
^TWII,Taiwan - Weighted,Asia Equities
^NSEI,India - NSE Nifty 50,Asia Equities

EURUSD=X,Euro,FX - G5
JPY=X,Yen,FX - G5
GBPUSD=X,Pound,FX - G5
CHF=X,Swiss Franc,FX - G5

USDCNY=X,Chinese Yuan,FX - Asia
INR=X,Indian Rupee,FX - Asia
KRW=X,Korean Won,FX - Asia
HKD=X,HongKong Dollar,FX - Asia
SGD=X,Singapore Dollar,FX - Asia


CL=F,Crude Oil,Commodity
NG=F,Natural Gas,Commodity
GC=F,Gold,Commodity
SI=F,Silver,Commodity
HG=F,Copper,Commodity

BTC-USD,Bitcoin,Crypto
ETH-USD,Ethereum,Crypto
SOL-USD,Solana,Crypto
XRP-USD,Ripple,Crypto
