Ticker,Real Ticker,Name
RELIANCE.NS,RELIANCE,Reliance Industries Limited
TCS.NS,TCS,Tata Consultancy Services Limited
HDFCBANK.NS,HDFCBANK,HDFC Bank Limited
BHARTIARTL.NS,BHARTIARTL,Bharti Airtel Limited
ICICIBANK.NS,ICICIBANK,ICICI Bank Limited
INFY.NS,INFY,Infosys Limited
SBIN.NS,SBIN,State Bank of India
LICI.NS,LICI,Life Insurance Corporation of India
HINDUNILVR.NS,HINDUNILVR,Hindustan Unilever Limited
ITC.NS,ITC,ITC Limited
LT.NS,LT,Larsen & Toubro Limited
BAJFINANCE.NS,BAJFINANCE,Bajaj Finance Limited
HCLTECH.NS,HCLTECH,HCL Technologies Limited
MARUTI.NS,MARUTI,Maruti Suzuki India Limited
SUNPHARMA.NS,SUNPHARMA,Sun Pharmaceutical Industries Limited
ADANIENT.NS,ADANIENT,Adani Enterprises Limited
KOTAKBANK.NS,KOTAKBANK,Kotak Mahindra Bank Limited
TITAN.NS,TITAN,Titan Company Limited
AXISBANK.NS,AXISBANK,Axis Bank Limited
ADANIPORTS.NS,ADANIPORTS,Adani Ports and Special Economic Zone Limited
ASIANPAINT.NS,ASIANPAINT,Asian Paints Limited
ULTRACEMCO.NS,ULTRACEMCO,UltraTech Cement Limited
NTPC.NS,NTPC,NTPC Limited
TMCV.NS,TATAMOTORS,Tata Motors Limited
M&M.NS,M&M,Mahindra & Mahindra Limited
ONGC.NS,ONGC,Oil & Natural Gas Corporation Limited
COALINDIA.NS,COALINDIA,Coal India Limited
POWERGRID.NS,POWERGRID,Power Grid Corporation of India Limited
ADANIGREEN.NS,ADANIGREEN,Adani Green Energy Limited
ADANIPOWER.NS,ADANIPOWER,Adani Power Limited
NESTLEIND.NS,NESTLEIND,Nestle India Limited
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Limited
JSWENERGY.NS,JSWENERGY,JSW Energy Limited
JSWSTEEL.NS,JSWSTEEL,JSW Steel Limited
TATASTEEL.NS,TATASTEEL,Tata Steel Limited
DLF.NS,DLF,DLF Limited
