Ticker,Name,Category
IBIT,iShares Bitcoin Trust,Crypto
FETH,Fidelity Ethereum Fund,Crypto
BITU,ProShares Ultra Bitcoin (2x Long),Crypto
SBIT,ProShares UltraShort Bitcoin (2x Short),Crypto
MSTR,Micro Strategy,Crypto
BMNR,Bitmine,Crypto
COIN,Coinbase,Crypto
CRCL,Circle,Crypto
TLT,iShares 20+ Year Treasury Bond ETF,Bond Markets
TMF,Direxion Daily 20+ Year Treasury Bull 3x Shares,Bond Markets
TTT,ProShares UltraPro Short 20+ Year Treasury (3x Short),Bond Markets
TYD,Direxion Daily 7-10 Year Treasury Bull 3x Shares,Bond Markets
TYO,Direxion Daily 7-10 Year Treasury Bear 3x Shares,Bond Markets
AAPL,Apple Inc.,Equities - Information Technology
MSFT,Microsoft Corporation,Equities - Information Technology
NVDA,NVIDIA Corporation,Equities - Information Technology
AVGO,Broadcom Inc.,Equities - Information Technology
ORCL,Oracle Corporation,Equities - Information Technology
LLY,Eli Lilly and Company,Equities - Health Care
UNH,UnitedHealth Group Incorporated,Equities - Health Care
JNJ,Johnson & Johnson,Equities - Health Care
ABBV,AbbVie Inc.,Equities - Health Care
MRK,Merck & Co. Inc.,Equities - Health Care
BRK-B,Berkshire Hathaway Inc. Class B,Equities - Financials
JPM,JPMorgan Chase & Co.,Equities - Financials
GS,Goldman Sachs, Equities - Financials
V,Visa Inc.,Equities - Financials
MA,Mastercard Incorporated,Equities - Financials
BAC,Bank of America Corporation,Equities - Financials
AMZN,Amazon.com Inc.,Equities - Consumer Discretionary
TSLA,Tesla Inc.,Equities - Consumer Discretionary
HD,The Home Depot Inc.,Equities - Consumer Discretionary
MCD,McDonald's Corporation,Equities - Consumer Discretionary
NKE,NIKE Inc.,Equities - Consumer Discretionary
META,Meta Platforms Inc.,Equities - Communication Services
GOOGL,Alphabet Inc. Class A,Equities - Communication Services
NFLX,Netflix Inc.,Equities - Communication Services
TMUS,T-Mobile US Inc.,Equities - Communication Services
